sii_state,sii_deceased,sii_age,sii_age_range,sii_gender,sii_race,svi_party_registration,sii_education_level,sii_homeowner,sii_married,sii_urbanicity,svi_vh_2020p,svi_vh_2020p_party,svi_vh_2020pp,svi_vh_2020pp_party,svi_vh_2020g,svi_vh_2021p,svi_vh_2021p_party,svi_vh_2021g,svi_vh_2022p,svi_vh_2022p_party,svi_vh_2022g,svi_vh_2023p,svi_vh_2023p_party,svi_vh_2023g,svi_vh_2024p,svi_vh_2024p_party,svi_vh_2024pp,svi_vh_2024pp_party,svi_vh_2024g,svi_vote_all_general,svi_vote_all_general_fed,svi_vote_all_general_fed_pct,svi_vote_all_general_midterm,svi_vote_all_general_midterm_pct,svi_vote_all_general_pres,svi_vote_all_general_pres_pct,svi_vote_all_offyear,svi_vote_all_primary,svi_vote_all_primary_pres,svi_vote_all_primary_pres_pct,svi_vote_all_primary_dem_votes,svi_vote_all_primary_dem_votes_pct
SD,0,74,E,F,W,R,C,H,0,S4,,,,,AC,,,,,,PC,,,,,,,,,12,12,100,6,100,6,100,2,1,1,17,0,0
SD,0,37,B,F,W,D,,H,1,S3,PC,,,,PC,,,,,,PC,,,,,,,,,4,4,50,1,25,3,75,0,1,0,0,0,0
SD,0,69,E,M,W,R,A,H,0,R2,,,,,AC,,,,PC,,PC,,,,,,,,,2,2,67,1,50,1,100,0,1,0,0,0,0
SD,0,,,F,W,U,,U,0,R1,,,,,,,,,,,,,,,,,,,,2,2,29,1,25,1,33,1,2,0,0,0,0
SD,0,38,B,M,W,R,E,H,0,R1,,,,,PC,,,,,,PC,,,,,,,,,4,4,67,2,67,2,67,0,0,0,0,0,0
SD,0,,,M,U,,A,U,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,84,F,F,W,,A,H,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,39,B,F,W,D,B,H,1,R1,AC,,,,AC,,,,PC,,PC,,,,,,,,,10,10,100,5,100,5,100,3,9,3,60,0,0
SD,0,69,E,M,W,D,B,H,1,R1,AC,,,,AC,,,,PC,,AC,,,,PC,,,,,12,12,100,6,100,6,100,1,5,3,50,0,0
SD,0,53,D,M,W,D,C,H,1,R1,,,,,PC,,,,,,PC,,,,,,,,,10,10,83,4,67,6,100,0,1,1,17,0,0
SD,0,,,M,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,,,F,W,,A,U,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,58,D,M,W,R,C,H,0,S4,,,,,,,,,,,,,,,,,,,,2,2,50,1,50,1,50,0,0,0,0,0,0
SD,0,74,E,F,N,R,A,H,0,R2,AC,,,,AC,,,,AC,,AC,,,,PC,,,,,12,12,100,6,100,6,100,3,10,5,83,0,0
SD,0,54,D,F,W,R,C,H,1,R1,AC,,,,AC,,,,AC,,PC,,,,PC,,,,,12,12,100,6,100,6,100,0,9,3,50,0,0
SD,0,,,F,W,,A,R,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,,,M,W,D,A,U,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,,,F,W,D,A,U,0,S4,AC,,,,AC,,,,,,AC,,,,,,,,,3,3,100,2,100,1,100,0,1,0,0,0,0
SD,0,65,E,M,W,R,A,U,1,R1,AC,,,,PC,,,,PC,,YC,,,,PC,,,,,10,10,83,5,83,5,83,2,10,4,67,0,0
SD,0,59,D,M,W,U,D,H,0,S4,,,,,AC,,,,,,PC,,,,,,,,,11,11,100,6,100,5,100,1,3,2,40,0,0
SD,0,36,B,M,W,R,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,48,C,M,W,R,B,H,1,R2,,,,,AC,,,,,,PC,,,,,,,,,7,7,58,2,33,5,83,1,0,0,0,0,0
SD,0,,,M,W,,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,65,E,F,W,R,B,H,1,S4,PC,,,,PC,,,,PC,,PC,,,,PC,,,,,3,3,100,2,100,1,100,1,3,1,100,0,0
SD,0,71,E,M,W,R,E,H,0,R1,,,,,PC,,,,,,PC,,,,,,,,,2,2,100,1,100,1,100,0,0,0,0,0,0
SD,0,57,D,F,W,,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,39,B,F,W,R,A,U,1,S4,,,,,,,,,,,,,,,,,,,,2,2,33,1,33,1,33,0,0,0,0,0,0
SD,0,37,B,F,W,U,B,U,0,S4,PC,,,,PC,,,,,,PC,,,,,,,,,6,6,100,3,100,3,100,0,2,0,0,0,0
SD,0,,,F,W,D,B,U,0,R2,AC,,,,AC,,,,AC,,AC,,,,PC,,,,,7,7,100,4,100,3,100,4,6,1,33,0,0
SD,0,50,D,M,W,D,A,U,0,,,,,,,,,,,,,,,,,,,,,1,1,10,0,0,1,20,0,0,0,0,0,0
SD,0,30,B,F,W,R,A,U,1,S4,,,,,PP,,,,,,,,,,,,,,,2,2,33,1,33,1,33,0,0,0,0,0,0
SD,0,,,F,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,69,E,M,W,,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,58,D,M,W,R,A,H,1,R1,PC,,,,PC,,,,PC,,,,,,PC,,,,,8,8,80,3,60,5,100,0,7,2,40,0,0
SD,0,39,B,M,W,D,A,H,0,,,,,,,,,,,,,,,,,,,,,1,1,13,0,0,1,25,0,1,1,25,0,0
SD,0,66,E,M,W,D,A,H,0,R1,,,,,,,,,,,,,,,,,,,,1,1,17,0,0,1,33,0,0,0,0,0,0
SD,0,72,E,F,W,R,C,H,0,S3,AC,,,,AC,,,,PC,,PC,,,,AC,,,,,10,10,91,6,100,4,80,2,5,3,60,0,0
SD,0,55,D,F,W,,C,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,26,A,F,W,U,A,H,0,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,50,0,0
SD,0,,,U,W,R,A,U,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,63,D,F,W,R,A,H,1,S4,,,,,AC,,,,,,,,,,,,,,,9,9,75,3,50,6,100,0,1,1,17,0,0
SD,0,67,E,M,W,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,68,E,M,W,U,B,H,0,S3,,,,,PC,,,,,,PC,,,,,,,,,5,5,45,2,33,3,60,0,0,0,0,0,0
SD,0,30,B,M,N,,A,H,1,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,66,E,M,W,,A,U,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,,,F,W,R,A,U,0,R1,,,,,,,,,,,PC,,,,,,,,,1,1,50,1,100,0,0,0,0,0,0,0,0
SD,0,,,M,W,R,B,H,1,R2,,,,,,,,,,,PC,,,,,,,,,1,1,100,1,100,0,0,1,0,0,0,0,0
SD,0,,,M,W,R,A,U,0,R1,,,,,PC,,,,,,PC,,,,,,,,,3,3,75,1,50,2,100,0,0,0,0,0,0
SD,0,49,C,F,W,R,E,H,0,R1,,,,,PC,,,,PC,,,,,,,,,,,5,5,71,2,50,3,100,1,3,1,33,0,0
SD,0,82,F,M,W,R,A,H,1,S3,AC,,,,AC,,,,AC,,AC,,,,AC,,,,,12,12,100,6,100,6,100,1,12,5,83,0,0
SD,0,37,B,M,W,,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,72,E,F,W,D,B,U,1,S4,AC,,,,AC,,,,AC,,AC,,,,,,,,,4,4,80,2,67,2,100,0,3,1,50,0,0
SD,0,64,D,M,W,R,A,U,0,R1,,,,,PC,,,,PC,,PC,,,,,,,,,12,12,100,6,100,6,100,0,5,2,33,0,0
SD,0,58,D,F,W,,C,H,1,S4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,,,M,U,,A,H,0,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,41,C,F,W,R,A,H,0,S4,,,,,PC,,,,,,PC,,,,,,,,,6,6,67,3,60,3,75,1,1,0,0,0,0
SD,0,57,D,F,W,,A,H,1,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,82,F,M,W,R,A,U,1,R2,,,,,AP,,,,PP,,AP,,,,PP,,,,,2,2,100,1,100,1,100,0,2,1,100,0,0
SD,0,81,F,M,W,U,,H,1,S4,AC,,,,AC,,,,PC,,PC,,,,,,,,,11,11,100,6,100,5,100,7,4,1,20,0,0
SD,0,72,E,F,W,D,A,U,0,R1,,,,,,,,,,,,,,,,,,,,3,3,43,2,50,1,33,1,0,0,0,0,0
SD,0,,,M,W,R,A,U,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,,,F,W,R,A,U,0,R2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,,,M,W,R,A,U,0,S3,,,,,,,,,,,PC,,,,,,,,,1,1,100,1,100,0,0,0,0,0,0,0,0
SD,0,78,F,F,W,,C,H,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,,,M,W,,A,H,1,R1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,75,F,M,W,U,E,H,1,R2,,,,,AC,,,,,,AC,,,,,,,,,12,12,100,6,100,6,100,1,5,2,33,0,0
SD,0,54,D,F,W,R,A,H,1,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,48,C,M,W,,A,U,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,76,F,F,W,U,E,H,0,S4,,,,,AC,,,,,,AC,,,,,,,,,6,6,100,3,100,3,100,0,0,0,0,0,0
SD,0,93,F,F,W,,E,H,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,,,M,W,R,A,R,0,S3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,64,D,F,U,D,A,U,0,,,,,,,,,,,,PC,,,,,,,,,10,10,83,5,83,5,83,0,0,0,0,0,0
SD,0,72,E,F,W,D,A,H,0,R1,MC,,,,PC,,,,PC,,PC,,,,,,,,,10,10,100,5,100,5,100,0,4,1,20,0,0
SD,0,,,M,W,R,A,H,0,,AC,,,,PC,,,,,,AC,,,,PC,,,,,4,4,57,2,50,2,67,0,2,1,33,0,0
SD,0,80,F,F,W,D,A,H,0,R2,AC,,,,AC,,,,AC,,AC,,,,,,,,,11,11,100,6,100,5,100,1,6,2,40,0,0
SD,0,70,E,F,W,,A,H,1,R1,MC,,,,AC,,,,,,,,,,,,,,,6,6,75,3,75,3,75,0,3,1,25,0,0
